,ESA_NAME,Male,Female,months
64,Kadina/Clare SA,240,184.0,NOV
65,Murraylands SA,253,212.0,NOV
66,North Country SA,637,486.0,NOV
67,Port Lincoln/Ceduna,281,219.0,NOV
68,Port Pirie SA,242,150.0,NOV
69,Riverland SA,325,219.0,NOV
70,South East SA,309,265.0,NOV
71,ACT/Queanbeyan NSW,1017,797.0,NOV
72,Eurobodalla NSW,270,222.0,NOV
73,Lower South Coast,287,207.0,NOV
74,Murray Darling NSW,64,45.0,NOV
75,Shoalhaven NSW,804,580.0,NOV
76,South Eastern NSW,656,531.0,NOV
77,Southern Ranges NSW,450,379.0,NOV
78,Sturt NSW,363,,NOV
79,Fraser Coast QLD,1041,773.0,NOV
80,Gympie QLD,753,517.0,NOV
81,Toowoomba QLD,993,822.0,NOV
82,Warwick QLD,381,306.0,NOV
83,Western Downs QLD,318,233.0,NOV
84,Canterbury/Bankstown,1469,1115.0,NOV
85,Central West Sydney,2074,1467.0,NOV
86,Eastern Suburbs NSW,554,440.0,NOV
87,Fairfield NSW,1232,926.0,NOV
88,Inner Sydney NSW,1082,876.0,NOV
89,Inner Western Sydney,362,284.0,NOV
90,Liverpool NSW,1058,829.0,NOV
91,Macarthur NSW,1438,1208.0,NOV
92,Nepean NSW,1639,1473.0,NOV
93,Northern Sydney NSW,717,520.0,NOV
94,Outer Western Sydney,1913,1545.0,NOV
95,St George-Sutherland,1069,876.0,NOV
96,Wollongong NSW,1769,1246.0,NOV
97,Hobart TAS,1867,1352.0,NOV
98,Launceston TAS,972,780.0,NOV
99,West and North West,818,619.0,NOV
100,Chifley NSW,301,224.0,NOV
101,Far West NSW,293,215.0,NOV
102,Gwydir Namoi NSW,416,304.0,NOV
103,Lachlan NSW,292,211.0,NOV
104,Orana NSW,682,473.0,NOV
105,Oxley NSW,134,98.0,NOV
106,Patterson NSW,600,453.0,NOV
107,Windamere NSW,341,232.0,NOV
108,Bendigo VIC,1028,890.0,NOV
109,Eureka VIC,863,763.0,NOV
110,Geelong VIC,1273,1229.0,NOV
111,Grampians VIC,240,202.0,NOV
112,Hampden VIC,404,365.0,NOV
113,Mid Murray VIC,252,240.0,NOV
114,Sunraysia VIC,488,402.0,NOV
115,Western District VIC,193,176.0,NOV
0,Eastern Adelaide SA,755,618.0,DEC
1,Northern Adelaide SA,2995,2393.0,DEC
2,Southern Adelaide SA,1812,1468.0,DEC
3,Western Adelaide SA,1415,1138.0,DEC
4,Gold Coast QLD,3402,2822.0,DEC
5,Ipswich QLD,1806,1459.0,DEC
6,Logan QLD,2978,2375.0,DEC
7,North Brisbane QLD,2695,2082.0,DEC
8,Outer North Brisbane,2117,1728.0,DEC
9,South Brisbane QLD,3524,2631.0,DEC
10,Sunshine Coast QLD,2017,1539.0,DEC
11,Bundaberg QLD,1025,768.0,DEC
12,CairnsQLD,2117,1591.0,DEC
13,Capricornia QLD,1134,860.0,DEC
14,Far North QLD,705,541.0,DEC
15,Gladstone QLD,448,312.0,DEC
16,Mackay QLD,826,694.0,DEC
17,Mt Isa QLD,499,332.0,DEC
18,Townsville QLD,1774,1375.0,DEC
19,East Gippsland VIC,439,382.0,DEC
20,Goulburn Valley VIC,927,741.0,DEC
21,Kiewa VIC,690,632.0,DEC
22,Latrobe Valley VIC,1060,943.0,DEC
23,Ovens VIC,584,495.0,DEC
24,Goldfields/Esperance,440,356.0,DEC
25,Kimberley WA,834,668.0,DEC
26,Mid West/Gascoyne,509,369.0,DEC
27,Midlands/Wheatbelt,255,154.0,DEC
28,Pilbara WA,347,282.0,DEC
29,Southern WA,1055,829.0,DEC
30,Central Coast NSW,2179,1888.0,DEC
31,Hunter NSW,864,745.0,DEC
32,Keepit NSW,748,607.0,DEC
33,Lower Hunter NSW,2542,2032.0,DEC
34,Manning NSW,730,605.0,DEC
35,Upper Hunter NSW,245,213.0,DEC
36,Bayside VIC,2985,2314.0,DEC
37,Calder VIC,2390,2242.0,DEC
38,Maroondah VIC,1315,1278.0,DEC
39,Monash VIC,1245,1234.0,DEC
40,Peninsula VIC,1172,1207.0,DEC
41,Plenty VIC,1905,1739.0,DEC
42,Westgate VIC,3475,2985.0,DEC
43,Yarra VIC,865,759.0,DEC
44,Clarence NSW,481,355.0,DEC
45,Coffs Harbour NSW,993,720.0,DEC
46,Hastings NSW,520,386.0,DEC
47,Macleay NSW,336,232.0,DEC
48,New England NSW,630,459.0,DEC
49,North Coast NSW,565,445.0,DEC
50,Richmond NSW,738,539.0,DEC
51,Tweed NSW,695,489.0,DEC
52,Alice Springs NT,765,507.0,DEC
53,Darwin NT,497,460.0,DEC
54,Katherine NT,482,335.0,DEC
55,Tennant Creek NT,231,128.0,DEC
56,Top End NT,880,650.0,DEC
57,Central/West Metro,1575,1321.0,DEC
58,Dale WA,435,439.0,DEC
59,East Metro WA,1828,1508.0,DEC
60,North Metro WA,2775,2362.0,DEC
61,Adelaide Hills SA,211,157.0,DEC
62,Fleurieu/Kangaroo Is,174,124.0,DEC
